silhouette,rand_index,rand_index_adjusted,mutual_info,mutual_info_normalized,dim_reduc,n_dims,knn_implementation,n_trial,tol,log_likelihood
0.49913648,0.9501242750621375,0.7356014171888178,1.8658451087544918,0.8235048054291392,tsne,2,own,1,0.0001,-51367.63159177424
0.49779016,0.9499917149958576,0.7344486907561383,1.8667875797662548,0.8232477740132106,tsne,2,own,2,0.0001,-51368.265337590754
0.4941243,0.9553383043358188,0.7572307564871154,1.8775745902766388,0.8241701806951078,tsne,2,sklearn,0,1.0,-51338.945086892934
0.49916,0.9579232256282795,0.7681255579216325,1.8923187447240892,0.8274473188430423,tsne,2,sklearn,1,1.0,-51343.37960956536
0.49912953,0.9574371720519194,0.7659281077457285,1.889658914571845,0.8267438144930581,tsne,2,sklearn,2,1.0,-51342.46493583601
0.4967099,0.9561115713891191,0.7602536907493284,1.882180262597788,0.8250129109775324,tsne,2,sklearn,0,0.5,-51340.86741397399
0.49916,0.9579232256282795,0.7681255579216325,1.8923187447240892,0.8274473188430423,tsne,2,sklearn,1,0.5,-51343.28300127093
0.49814084,0.955912731289699,0.7582763892404207,1.8785494778830854,0.8225032141462395,tsne,2,sklearn,2,0.5,-51342.55959942548
0.4941243,0.9553383043358188,0.7572307564871154,1.8775745902766388,0.8241701806951078,tsne,2,sklearn,0,0.1,-51338.39691881358
0.48940325,0.9546534106600386,0.7548096772031507,1.8732482590075754,0.8235789766140506,tsne,2,sklearn,1,0.1,-51337.74285468426
0.5003733,0.9620215410107705,0.787243486408301,1.9104555195305113,0.8318638348776076,tsne,2,sklearn,2,0.1,-51338.92197374581
0.50077796,0.9629826014913008,0.7923898467563961,1.9096301680046464,0.8312547885770515,tsne,2,sklearn,0,0.05,-51338.49020751077
0.49964094,0.9594034797017399,0.7744507285080576,1.8963522159221837,0.8274815042368125,tsne,2,sklearn,1,0.05,-51341.04848415927
0.5016915,0.9617674675504004,0.7858521168274293,1.9024484371730153,0.8284027458732134,tsne,2,sklearn,2,0.05,-51338.81050474804
0.50051326,0.9624081745374206,0.7890631539264288,1.9048334751169438,0.829061677700588,tsne,2,sklearn,0,0.01,-51338.3040811496
0.50051326,0.9624081745374206,0.7890631539264288,1.9048334751169438,0.829061677700588,tsne,2,sklearn,1,0.01,-51338.30278372996
0.48668602,0.9549737641535487,0.7583402618684001,1.8793295857207293,0.8283320831533828,tsne,2,sklearn,2,0.01,-51336.84557993083
0.5004347,0.9630267881800607,0.7924516145206824,1.9086690887891147,0.8306469967950173,tsne,2,sklearn,0,0.005,-51338.181365830314
0.5004347,0.9630267881800607,0.7924516145206824,1.9086690887891147,0.8306469967950173,tsne,2,sklearn,1,0.005,-51338.178113693815
0.48668602,0.9549737641535487,0.7583402618684001,1.8793295857207293,0.8283320831533828,tsne,2,sklearn,2,0.005,-51336.77895579318
0.5004347,0.9630267881800607,0.7924516145206824,1.9086690887891147,0.8306469967950173,tsne,2,sklearn,0,0.001,-51338.095049710784
0.48668602,0.9549737641535487,0.7583402618684001,1.8793295857207293,0.8283320831533828,tsne,2,sklearn,1,0.001,-51336.725421202005
0.5004347,0.9630267881800607,0.7924516145206824,1.9086690887891147,0.8306469967950173,tsne,2,sklearn,2,0.001,-51338.0948439573
0.5004347,0.9630267881800607,0.7924516145206824,1.9086690887891147,0.8306469967950173,tsne,2,sklearn,0,0.0005,-51338.0853530571
0.5004347,0.9630267881800607,0.7924516145206824,1.9086690887891147,0.8306469967950173,tsne,2,sklearn,1,0.0005,-51338.08554240654
0.48668602,0.9549737641535487,0.7583402618684001,1.8793295857207293,0.8283320831533828,tsne,2,sklearn,2,0.0005,-51336.719045486265
0.5000836,0.963667495167081,0.7959871951538073,1.9127977602130528,0.8323806742839562,tsne,2,sklearn,0,0.0001,-51338.07796869392
0.5000836,0.963667495167081,0.7959871951538073,1.9127977602130528,0.8323806742839562,tsne,2,sklearn,1,0.0001,-51338.078464835286
0.48668602,0.9549737641535487,0.7583402618684001,1.8793295857207293,0.8283320831533828,tsne,2,sklearn,2,0.0001,-51336.71399203284
0.3639668,0.9541342170671085,0.7459649121137483,1.8409995424529177,0.8037685477044636,tsne,3,own,0,1.0,-60931.95287703677
0.36359128,0.9546865506766087,0.7485789514588156,1.8438441156106025,0.8046566590472047,tsne,3,own,1,1.0,-60931.19624437175
